road_age_years,daily_traffic,heavy_vehicle_pct,rainfall_mm,waterlogging_events,drainage_score,asphalt_quality,repair_count,avg_temperature,soil_stability,road_damage_index,predicted_damage,risk_level,x,y
5,49449,20.558725038250085,239,9,7,5,0,26,9,38.62246938107558,39.16643644906118,Moderate,10,54
19,6543,54.21780603880359,421,3,2,3,2,20,1,118.66122226019242,117.58698560341598,Critical,74,34
7,22067,6.33133244323914,468,9,7,3,1,39,8,45.92771599064488,38.5407386620612,Moderate,37,23
9,46256,24.173135819356514,247,19,1,10,2,27,5,104.70886532902232,110.0478274714516,Critical,56,37
7,26097,44.69902318524208,402,11,4,6,3,29,8,82.00069207458003,78.18855038996973,Critical,11,2
18,43847,9.404923031913867,326,8,10,3,6,43,7,74.69080297390946,79.55678854810996,Critical,41,50
4,44512,15.074324008556093,385,14,4,3,1,37,9,86.18702900126668,80.94843660563521,Critical,62,60
14,4809,37.410715032456814,88,8,5,9,6,18,2,48.548297881592894,48.76147445596733,Moderate,8,39
18,23191,35.799651930495685,211,6,10,2,4,40,9,53.09249549374343,57.491300424124155,Moderate,21,53
9,22267,45.641056287202524,170,11,1,1,7,25,10,96.19118103372017,99.69346809935107,Critical,37,65
2,8206,49.693695149849454,429,19,7,10,7,40,5,68.20612150589965,70.7040613065658,Critical,72,59
20,22057,12.071876818141803,448,13,2,8,4,38,5,113.5592209633269,109.29962995162282,Critical,56,14
15,29992,6.010954437638313,311,15,2,3,9,22,1,143.45800739137982,137.27072549884264,Critical,66,85
7,47514,42.93011858123984,499,18,8,7,7,32,6,116.08848837137533,118.51390393891089,Critical,98,45
12,16995,21.576548767149756,265,2,9,2,8,23,10,13.993970987859736,18.2470812989231,Healthy,29,54
8,49803,39.42911526548745,361,10,6,8,6,11,10,77.5552451253218,67.49299779462226,Moderate,25,3
15,45439,13.279952343422359,98,19,1,9,5,21,10,97.93802484554814,94.22284695478645,Critical,71,23
3,14210,30.79720256662796,141,18,1,8,6,37,10,54.73111421175792,58.756852145305636,Moderate,53,82
14,18793,32.74336103348903,178,7,7,8,6,41,3,62.86518886245451,60.98005334691861,Moderate,31,93
17,27270,37.179279900526886,370,19,8,8,2,33,10,81.85213356510411,84.08890537378758,Critical,21,85
4,6197,33.224350898181044,77,7,3,7,5,38,3,32.170619292069006,38.34104741195011,Moderate,7,39
18,49321,32.26299236257927,405,2,9,2,5,27,3,104.68115201790408,106.45243071331274,Critical,65,26
8,8452,23.300378469112054,197,9,4,8,8,12,4,31.858962178759374,38.43933221052727,Moderate,13,78
4,42486,8.914912997494742,481,12,4,5,0,22,9,54.87521985943935,57.58896684623359,Moderate,4,51
2,15859,9.923610823826326,377,8,3,6,6,22,8,23.2840712464119,25.28286101365233,Healthy,12,36
6,28236,28.857805092393452,114,5,8,4,0,38,6,20.66361886395272,23.111096789959348,Healthy,86,0
10,32899,24.568622030154618,267,14,9,1,9,11,8,81.52866763939095,77.06794209007752,Critical,76,75
4,33083,33.387414257097376,100,15,1,5,3,37,8,86.6145700364796,84.81138256122534,Critical,82,8
18,3172,21.76609930909468,476,4,2,3,6,13,1,94.14863718828342,97.4076907439627,Critical,23,82
12,46926,42.83505503004284,354,12,1,9,5,14,9,108.64749393555522,107.31846180837356,Critical,34,17
2,17663,52.51751521052308,458,18,4,4,5,14,1,128.2867920924083,121.76157276882522,Critical,77,38
10,28540,21.43747538327772,123,1,10,10,4,17,2,-6.279675293848136,-2.7187587521944607,Healthy,67,74
4,20053,15.614120436646573,474,5,7,2,6,43,9,29.613890760570893,36.46559257726253,Moderate,25,74
14,12085,11.389931583974901,248,0,7,4,8,34,7,16.25421571767436,21.652267803439244,Healthy,73,29
16,31564,38.893972231394685,241,14,6,3,5,36,10,103.42176767562049,101.84940653342554,Critical,37,19
15,25209,29.412079512731317,238,14,5,3,9,16,1,133.36780033605018,126.06291054766753,Critical,33,14
8,4981,15.340864445795892,61,13,4,5,6,41,3,60.55277115391559,56.28477278242286,Moderate,33,63
14,22153,40.92252033105205,288,6,8,1,8,30,1,111.59563865621814,105.20118838803063,Critical,18,24
8,6247,13.166575065290642,409,4,7,5,6,27,5,10.123568673499628,21.011477403751996,Healthy,2,48
16,11553,35.48653882163739,130,19,10,8,5,11,4,56.9755385629874,60.722556710733755,Moderate,35,66
13,21811,33.99316098938956,432,15,1,10,2,14,8,79.4364210174699,85.13774282963527,Critical,3,25
18,30845,45.382529065234586,319,16,6,9,0,37,9,94.88411521690722,92.23401953248164,Critical,25,44
15,7135,8.031030196736673,339,10,2,1,9,40,4,104.40311378143979,105.89513519397143,Critical,74,91
13,6573,53.833011251823166,97,14,4,2,8,33,3,104.16177819813115,119.14791762387149,Critical,2,5
9,14731,43.664544938075075,366,19,5,2,6,42,4,134.72108609015027,131.27035320839698,Critical,48,31
15,8189,16.886929909181923,258,15,8,6,2,21,3,61.91894883880282,55.8631341288022,Moderate,8,74
13,15541,15.087294173535682,84,2,6,1,9,18,6,48.398004176508735,38.201581169052744,Moderate,45,76
1,44646,28.741311777908088,168,5,2,1,8,24,1,103.64428402230597,103.01555667364796,Critical,65,16
7,12087,49.966093124952835,114,12,5,2,2,32,2,91.29499709581026,87.97353845583845,Critical,13,45
9,47435,51.36224962265089,364,0,5,4,2,31,8,70.55839666474576,76.3674190145079,Critical,2,52
1,3776,33.62508506766606,291,13,6,2,6,19,3,51.02771130952403,59.022038189618826,Moderate,1,99
12,43079,52.34459744777056,85,1,1,4,1,37,4,109.07220637365583,102.90138726659558,Critical,85,93
8,28564,5.299404005542981,301,1,8,3,9,44,1,56.19890338799833,53.655759465537386,Moderate,92,3
11,29835,6.934604734237814,452,14,3,3,6,38,3,126.44608314237435,120.82441051799115,Critical,32,77
19,8697,55.150187650020854,292,17,5,9,6,14,1,120.15844681221822,121.25579548181726,Critical,99,27
17,15629,47.64325614372538,91,8,7,8,0,13,10,35.75394979328099,23.356521240294285,Healthy,9,70
8,9386,29.788833203771212,118,2,3,10,9,24,5,20.46249463271746,18.584641363450316,Healthy,52,15
3,18046,46.44855723128929,452,3,10,9,1,39,1,22.65683352156443,26.037069443660727,Healthy,43,77
3,9044,57.56017039478819,156,14,6,1,4,35,9,64.36238327089859,65.80999707420544,Moderate,37,38
1,10615,47.464923813470676,88,4,5,5,3,32,7,6.147592033605873,13.728350468150992,Healthy,20,90
5,48802,51.33042336000771,118,19,7,4,2,38,8,97.93463915903033,102.80242667105013,Critical,94,29
10,6060,46.833361976453396,229,19,10,9,9,31,9,45.73117962670179,47.48229183839317,Moderate,34,78
7,11900,14.251610083844788,61,4,3,3,7,44,10,28.81022371036265,21.14045911747654,Healthy,66,56
9,6581,50.84657603051552,388,9,2,5,6,27,8,80.50914217583914,80.89190512074916,Critical,82,55
7,35782,15.730985101331552,480,15,4,8,8,44,3,114.68862651857103,109.86071591088073,Critical,21,38
9,21173,54.093623042428085,253,11,3,10,2,42,7,72.42860124926935,72.91306573224877,Critical,19,41
8,13997,30.225744394459177,85,13,4,5,9,16,7,53.547141072815336,58.55457265491592,Moderate,99,17
12,44403,42.23372137710657,175,10,7,9,0,43,7,69.61749168845984,66.90047879242962,Moderate,82,74
2,47416,32.348246633435394,112,18,5,2,8,19,8,93.39059401282438,97.85077874369622,Critical,67,21
1,8148,10.16950111791311,381,5,4,6,8,33,4,23.858386186429122,25.87372631591709,Healthy,95,3
16,19748,20.98972691913658,131,9,6,5,0,34,6,61.15775591746252,50.89287174887082,Moderate,7,2
5,15022,59.10525196983533,356,19,7,9,7,36,2,105.58876356232282,102.5311066860832,Critical,50,60
3,21013,57.83931134183995,348,2,5,7,9,15,7,40.562905770267726,44.407367441066626,Moderate,25,23
12,39687,22.6267793710551,83,14,7,8,0,17,9,42.22895892591444,38.376439318132114,Moderate,50,77
8,16886,59.79632423348742,289,10,3,7,5,30,5,86.3741626486176,91.00191923840526,Critical,64,51
3,26256,51.50531575232948,146,1,7,10,8,28,4,14.149907725412632,22.490533475772168,Healthy,25,66
1,31005,38.602772468774006,98,5,3,10,2,43,2,48.929691737725804,43.26678733253169,Moderate,46,30
3,7638,7.206854114355522,195,16,6,5,5,32,7,26.8776548019979,25.366142597825814,Healthy,42,52
5,38419,54.579575624610875,174,17,8,5,2,22,2,99.83642543853578,100.62980276220286,Critical,8,60
15,34377,35.65861035953759,238,3,6,4,4,37,2,84.15674655891587,92.554050041908,Critical,34,57
14,41708,52.76618831615232,106,8,10,2,6,15,9,71.70431272984023,73.09629059364812,Critical,81,34
3,44116,50.89360159481583,398,9,3,9,9,21,2,111.57201430027078,110.77329005505013,Critical,18,30
1,37634,50.81534183605974,158,1,5,10,3,12,10,-6.76160118090847,-1.4238773952653503,Healthy,47,56
5,17755,43.39956233931978,54,10,9,10,3,29,3,19.02594675084654,18.228494446959644,Healthy,79,75
14,24382,21.027832627182676,73,10,8,10,6,17,3,45.13586486140491,37.02961671463462,Moderate,27,9
7,23394,23.48881417594859,270,10,6,10,4,35,2,51.018138528058515,49.79420752052286,Moderate,2,83
9,3253,21.96580669204775,497,0,9,3,0,37,10,-6.132663257184699,-9.237202076008998,Healthy,17,17
15,38710,6.102529974291058,364,13,2,3,9,44,3,141.3328655077715,144.3575964225433,Critical,12,55
15,46098,37.04129000681461,343,0,9,3,1,11,9,41.95557117116735,47.0524779690018,Moderate,26,35
10,1864,43.43585187453181,466,8,10,8,5,16,3,33.16499058436421,35.521387993943755,Moderate,39,50
13,35036,51.962629643886196,59,0,10,6,8,34,5,53.52076749948829,47.949949974656086,Moderate,38,60
19,41222,12.70909883605017,214,3,6,1,6,41,7,86.6429202514436,87.54884474368929,Critical,57,18
7,14666,34.9300731937241,264,0,9,3,3,21,1,28.338848258136572,28.865896151644193,Healthy,56,80
17,21955,5.440447737058057,175,18,4,4,1,20,1,100.77935822580697,103.40043689800368,Critical,23,10
20,46138,10.230150624090122,316,9,5,2,3,19,10,84.52485459809506,91.28755788624933,Critical,92,4
4,38997,7.981645931329618,329,14,2,6,4,44,2,107.55917203610126,101.22593105460419,Critical,21,44
5,17309,44.90129187085178,137,19,3,10,1,13,1,78.10968199985437,78.76938753566058,Critical,50,99
7,5054,9.458276013268174,163,3,1,1,0,11,1,37.642935341417896,39.97003239747312,Moderate,89,44
13,1935,44.40491398573345,70,19,4,1,3,37,10,88.3575407432893,87.9894604788696,Critical,83,47
15,45940,18.729358742582086,197,13,2,8,5,23,4,107.7957055141769,110.75493675527336,Critical,87,13
11,23778,53.27421283833167,294,4,2,4,0,38,10,74.30181045464616,72.80643092510871,Critical,75,27
4,44298,49.723249360009774,315,14,1,1,0,11,3,134.95370009664492,138.52075942388228,Critical,81,8
13,49328,57.68066196114021,266,14,10,7,8,43,1,137.75050871535527,137.3480851366739,Critical,75,58
7,49924,53.60691085019175,480,15,2,9,4,42,3,150.64668362041638,151.44085270877144,Critical,37,37
19,17709,56.3331180513991,289,15,4,10,1,29,1,131.4928455282656,122.11962341205874,Critical,95,92
2,10726,52.230831808231926,480,3,6,7,1,39,3,52.462984933941804,42.667076549525135,Moderate,60,24
10,41542,43.136004533817044,448,8,7,1,3,35,4,120.86817467471778,117.22844431594172,Critical,48,71
13,21245,14.364253366898978,477,0,7,1,1,29,8,36.01492677984622,36.53268743919216,Moderate,22,47
6,35753,19.94391353697511,281,4,7,1,3,10,3,58.58345702101101,54.41024516220682,Moderate,3,18
12,15252,16.69998313716502,281,8,4,8,5,10,3,53.32803620156478,49.273947497214664,Moderate,75,1
12,22316,38.197218321201305,291,19,5,7,6,34,9,91.58276503136955,94.1846184782519,Critical,80,5
20,38371,32.69909658854807,239,4,3,3,5,42,9,96.42206464886108,105.11575882138949,Critical,84,29
11,20162,52.6893998437133,439,3,1,3,3,32,6,93.43841345548245,103.1353626569094,Critical,36,60
7,16960,57.397007657449166,278,15,8,3,9,20,10,75.46251904025632,75.9937395761674,Critical,92,1
1,31791,27.26729392899794,115,1,10,2,2,24,4,3.080012900490872,5.143198725499545,Healthy,5,50
1,43230,32.84928043044468,427,15,7,4,3,23,10,64.10879768712729,67.03394707738708,Moderate,27,82
20,26216,58.433399624227654,437,17,9,7,4,10,5,115.15942313789557,119.10137674337989,Critical,7,12
13,33467,20.193141789272893,328,1,10,9,3,42,9,1.3610730143701808,5.546506654853914,Healthy,94,48
9,47934,48.58149264473475,318,15,4,3,2,15,1,150.65339537775859,147.5367568427858,Critical,19,7
3,8754,17.388194628438544,258,0,5,10,0,32,7,-49.70124052382935,-34.99965598395582,Healthy,15,8
7,48014,42.48030634838996,464,15,5,7,2,35,7,112.27958238036938,109.72214362763027,Critical,12,22
6,5078,18.94885952012103,65,2,7,4,4,12,10,-34.44311286386237,-33.653951320754544,Healthy,78,71
8,13853,53.605336385726275,346,14,9,1,5,15,1,109.70098258097454,102.262806286053,Critical,61,72
9,5042,35.88128690551723,269,10,8,5,3,34,1,59.31862626699345,57.71060102241672,Moderate,76,15
5,15389,15.226350248091151,306,9,7,8,0,26,9,-15.835389066444701,-7.431407595344524,Healthy,65,15
1,31425,17.34030466341673,416,16,1,3,9,37,7,99.1994775422341,109.22638667735404,Critical,52,11
19,3575,32.16170576394552,317,3,10,10,6,41,4,21.512276524861026,26.95398376922884,Healthy,83,88
10,40522,57.888111406618336,278,16,6,4,8,38,9,127.03568762066375,126.09472511295922,Critical,27,10
12,29179,47.330319013601,168,3,10,3,5,32,5,48.35889497270867,56.6899165007783,Moderate,17,81
15,35754,31.85703035542148,489,18,9,10,5,25,3,105.63146930629831,105.26011044758482,Critical,6,12
9,19624,23.57455295092194,227,0,7,8,8,41,2,35.51570799573694,31.875531687251765,Healthy,20,34
20,21350,35.209767134164345,69,13,1,10,3,35,9,79.01811009453914,81.75328048311893,Critical,40,81
17,27681,46.159845838574086,499,10,9,8,4,42,4,94.40873122190148,99.0144937184371,Critical,38,93
17,24988,48.116072364904,85,6,3,4,4,28,7,78.5260481819272,89.24026615861881,Critical,72,42
20,16470,22.853483895331955,384,16,9,2,4,26,1,124.74326810912449,117.32643928621988,Critical,9,29
12,25704,44.663759751763244,471,3,4,3,7,23,9,93.02885780192153,84.10075761028051,Critical,30,59
7,39736,41.17838290199024,455,9,9,3,0,27,9,68.3778301526177,62.32443741715839,Moderate,41,66
2,30377,57.751176059796165,157,16,8,4,9,30,10,71.61479749627598,72.99222496876104,Critical,76,28
3,29572,56.20996597794082,238,3,7,2,9,37,6,70.85166854454378,71.11244061108204,Critical,68,24
17,8493,48.415862908196736,227,18,4,2,2,29,6,124.37370806764932,121.01458256016436,Critical,58,65
5,5103,44.786707887021066,145,17,9,3,7,15,6,52.86555260173767,51.74802436255034,Moderate,37,4
17,35844,20.07228743373517,364,16,4,1,8,35,5,134.66208540348728,150.93384030739207,Critical,42,94
17,3994,51.52808908541933,69,5,1,8,1,15,1,78.44709425135275,73.33960170502193,Critical,99,4
17,4744,28.51281370423514,213,6,6,6,3,35,4,56.92895840287747,50.644791431105524,Moderate,1,84
2,48234,19.973229837832456,431,5,4,3,7,26,10,67.83150754582829,62.88837949729216,Moderate,5,48
2,48291,26.12884168744044,146,11,10,1,4,11,1,72.61547138775009,70.14421588070074,Critical,76,25
5,28332,50.976451950907936,192,8,3,3,0,30,5,86.92350015867449,82.03585538452518,Critical,28,70
1,6594,13.174826856783675,111,17,5,1,5,16,4,41.62956350365272,48.506866357257806,Moderate,77,29
1,41299,30.088730761590234,291,1,3,3,8,29,8,56.46217642833598,57.14791599414757,Moderate,29,97
19,8371,32.079667699121934,287,16,9,4,8,12,1,99.21148978920507,102.4143900004863,Critical,88,27
2,48315,7.014633367935067,180,0,6,6,0,28,8,2.183682570058634,-5.191892599162458,Healthy,39,13
12,19028,15.766031625149093,142,8,3,7,3,39,8,41.68066389592046,40.82306077141217,Moderate,98,17
6,36912,50.4708335716721,140,5,5,7,0,20,1,65.89352073412607,66.29640681261753,Moderate,36,56
4,14990,50.69220637271184,182,1,8,9,6,22,9,-16.825741216553116,-12.305462756203696,Healthy,6,80
11,47851,21.08282961363364,172,5,8,8,2,42,9,25.040793273739965,30.396931506674868,Healthy,49,24
17,17626,53.11934790288594,489,8,6,4,1,11,6,86.71848781502311,92.2288906572803,Critical,17,69
6,21469,47.44806164875913,464,2,5,6,7,32,1,85.79320526618662,82.06540841161069,Critical,7,4
5,41722,27.98491160874752,391,15,5,1,8,29,7,118.65971521370034,116.18837411324634,Critical,70,52
20,41037,46.162348942277085,468,14,1,8,6,39,7,161.89740095555388,161.34432207653435,Critical,97,84
2,8130,57.873404715714344,167,11,2,6,5,24,9,56.004470172273294,51.80947172454034,Moderate,99,38
6,7828,30.243334493594183,247,7,4,2,9,11,1,69.21506961310448,73.05646892063596,Critical,54,56
11,42612,18.1134948424416,331,5,6,8,5,39,8,41.84445576167486,51.323228443897506,Moderate,47,83
16,47988,56.79990750275857,423,2,7,4,8,34,8,114.82447353546137,111.73850526950605,Critical,73,10
16,40099,38.205935870979104,50,3,1,9,4,13,7,66.58248968103611,66.72281880756714,Moderate,57,68
1,47165,10.78958393642339,260,9,8,4,4,10,6,37.060905695683495,32.81544174273375,Healthy,92,98
9,18883,36.49755487211792,312,13,1,1,1,17,1,126.23148494062411,124.1696525066245,Critical,15,98
6,44059,32.53194891965643,469,14,9,7,5,23,10,61.05691504641068,61.60859707745011,Moderate,24,24
16,19542,52.057389174155986,381,6,4,10,5,20,8,69.07584244716789,67.94902947059404,Moderate,28,29
3,43932,34.18823543699368,261,6,7,5,5,33,5,67.68803320240205,60.68711410268362,Moderate,7,1
20,11450,19.03778388893559,136,7,6,10,3,33,4,37.58963020198899,38.815712176132386,Moderate,83,83
4,21423,42.16042351256887,202,9,9,5,6,41,5,51.35514825941995,47.52749597605239,Moderate,99,35
19,3035,34.8416498894569,399,18,2,4,8,34,5,141.49374988143592,140.3852406440761,Critical,54,36
3,45231,17.817454554677987,236,18,7,6,0,37,10,42.571632552674885,51.15215275453855,Moderate,51,1
19,41745,36.549532186859935,110,1,5,1,2,25,3,94.51437210908327,101.07616806105659,Critical,90,46
20,18241,50.18445678393274,334,14,7,3,9,25,4,135.23049814368127,135.60308269586423,Critical,76,90
7,24154,6.5714004748205745,144,0,1,7,8,21,4,28.46264137993104,30.908487501219845,Healthy,25,95
20,26625,39.69680712548114,323,9,10,8,4,21,8,52.412029833844656,57.00574633322899,Moderate,24,58
9,45950,24.227185768141563,90,5,9,9,5,43,5,39.78544782563781,34.36828884761893,Healthy,91,3
1,34066,21.09692951676833,196,12,1,1,7,29,6,86.32651236322951,94.16277561276155,Critical,72,90
8,34691,26.59232626986112,295,9,5,4,8,24,10,64.27165785937937,65.4989169352533,Moderate,25,93
7,14331,23.811246533638993,181,11,8,2,7,31,2,60.7699808992159,65.04993653875277,Moderate,75,66
18,21690,50.77315086896429,498,5,1,2,2,25,9,124.60242612107854,117.49186534762259,Critical,89,45
8,20183,20.113879592234532,346,5,7,1,9,33,8,64.82168846246398,52.430409561838246,Moderate,46,90
1,40346,45.3234162708622,172,0,2,5,0,12,8,30.66861449420206,31.915091431376062,Healthy,85,35
11,5875,10.17329011257238,192,11,7,2,4,10,10,19.276730398187908,14.790419448794978,Healthy,0,64
18,13254,57.32680048664285,231,9,7,4,6,26,5,102.72419186038435,96.23067527714224,Critical,63,98
10,29621,39.22741504867035,241,13,9,9,1,30,5,56.956558254529476,52.23684713450753,Moderate,11,55
3,11905,43.8695217374508,448,14,6,3,0,22,3,82.1358477691311,78.02685158252486,Critical,23,75
7,47121,21.392163265194803,256,3,4,8,3,11,2,47.630556685662924,56.36588040455032,Moderate,29,34
16,16882,27.665311278946305,483,0,7,10,2,11,9,11.275775631999085,5.077243968789531,Healthy,13,81
16,20041,17.307811244903693,280,7,7,6,3,34,6,50.083623602848,48.291736974904595,Moderate,22,22
20,30098,56.28948471912231,71,2,4,10,0,37,8,57.04436758875328,57.95231619735894,Moderate,1,96
17,43431,31.845744590575773,451,13,2,5,1,35,4,147.07708729099468,148.02380480751367,Critical,2,77
2,34709,39.674646361189446,129,16,9,2,0,44,5,73.07797620463077,71.75069995766269,Critical,5,43
1,35675,45.38496167918935,179,1,8,3,2,37,10,13.752944397526939,14.811703627041176,Healthy,82,0
16,5837,25.410835010474642,341,14,5,8,3,42,5,72.65110482051149,74.53550417733824,Critical,20,90
12,47448,44.60559099965277,325,5,5,9,0,27,10,52.544040022748554,57.44913743042436,Moderate,19,87
5,25489,42.17958693659871,449,4,1,7,5,23,4,83.42351323509489,80.95124894060834,Critical,20,65
5,18627,43.811263363067056,372,13,9,1,1,18,2,78.88814510445916,79.4526381079366,Critical,39,11
9,6696,31.907644511253707,425,18,10,6,9,39,6,65.85758798579992,69.94418298037355,Moderate,67,12
9,49994,26.061556026038943,463,8,8,7,4,12,4,74.41210819793301,73.9785225916489,Critical,24,26
3,14543,17.214520351494443,104,7,5,6,7,43,4,29.46875688309434,29.184228640009827,Healthy,70,19
19,13615,50.35444940404911,115,2,10,10,3,42,10,9.62765816968176,6.6655309820993125,Healthy,70,97
16,2466,38.45925255924233,276,17,6,2,4,36,3,113.0439955200531,113.2714886348839,Critical,32,5
16,31771,29.439370785362225,75,7,10,9,8,18,8,29.106612051152567,25.721121404849676,Healthy,50,7
3,19350,56.919774869083625,490,15,10,3,1,22,6,70.22035280757004,71.39302874168906,Critical,89,20
20,1375,7.631134687887134,302,14,8,6,1,39,9,34.19420368793632,35.22401750208874,Moderate,80,20
1,34030,51.75945698627762,246,14,6,6,5,25,5,82.08536981650158,80.62422251252863,Critical,71,44
20,21746,59.867042612028484,179,15,10,8,5,35,6,95.31536737346823,93.2347372706418,Critical,89,69
11,23886,53.781816098557705,292,0,4,4,2,14,9,55.589537773414506,49.26739864260176,Moderate,78,43
17,45348,49.574012208859386,361,9,3,6,8,36,4,156.80581733391955,152.0637770352907,Critical,19,58
8,43904,25.586829637347854,261,18,7,1,0,24,10,84.41545450555611,84.86078437406218,Critical,18,29
4,33651,17.72228002442614,239,4,2,9,2,37,7,21.918105473909986,29.028331791298363,Healthy,70,9
6,8833,45.41677862747806,339,17,7,9,7,12,10,42.726526055635006,39.058205723680935,Moderate,55,74
8,2893,21.75164514587126,275,2,1,7,7,10,10,10.433391496328397,7.575958504095134,Healthy,55,0
20,31573,14.682182518523387,295,3,10,1,3,10,6,53.10386565149137,51.88835075264208,Moderate,0,9
3,32371,48.25892379069752,105,3,5,3,7,15,6,56.64414011613673,52.510659982430546,Moderate,38,24
16,41874,22.18990087301972,104,10,9,5,9,20,6,71.02301775471514,72.90050848723122,Critical,36,79
3,12826,55.29429512180361,325,8,1,4,7,25,4,87.08631421466895,95.06325793341324,Critical,17,82
18,35420,51.23479546505189,355,0,8,5,0,42,10,55.13603883613862,59.52834970325921,Moderate,71,73
14,22924,51.62021812300903,458,15,9,7,2,33,6,77.41555131291726,91.92193903613423,Critical,78,13
18,34367,47.43633493307044,389,8,9,9,0,41,7,74.27524817665953,72.06534724162474,Critical,5,2
2,22199,53.448478307610515,202,10,8,1,1,19,2,69.34765542503152,69.27227197568922,Moderate,21,67
3,26868,49.31607906979661,102,5,4,5,3,34,9,42.844375032842734,38.35648646721254,Moderate,10,39
16,9792,38.138124996610074,447,16,7,3,2,19,7,95.49030076928813,91.74158118871244,Critical,89,32
9,21597,21.270249522002473,493,11,1,3,5,22,3,111.04416225069569,113.86112394783095,Critical,71,83
4,37405,53.8515056267782,160,7,7,2,4,10,10,45.963631662407664,49.81375188680543,Moderate,8,78
1,33696,51.23319925252555,476,15,6,6,4,44,10,78.40381297307808,82.6629463984264,Critical,12,6
4,44123,31.008362721579978,495,4,5,6,9,23,7,80.40511704789287,71.1177545819005,Critical,2,2
1,16989,7.149327730107535,253,0,1,3,6,30,10,6.631784467313345,7.4825957923714554,Healthy,66,90
14,29931,40.11990500710524,161,16,8,1,6,10,10,85.31963335715098,86.66465713224667,Critical,6,36
16,10290,7.7828269522119955,374,7,10,7,8,29,5,31.013500642176293,29.505170513771198,Healthy,66,92
20,39367,55.945397901662396,496,9,1,2,7,14,9,153.55083305596668,162.01233625646205,Critical,74,25
8,15342,57.88971911439189,307,17,1,8,2,41,6,108.48773755477498,110.62322207241763,Critical,45,90
7,25941,15.421958024478233,487,14,3,3,1,10,7,73.71533126849026,78.18584482566156,Critical,57,24
3,14945,42.20141579302005,65,19,8,1,0,11,4,56.17444711302077,61.02688209866308,Moderate,27,39
17,11762,10.074795250951952,488,12,8,10,9,40,2,72.29111579708903,73.84774266238277,Critical,30,42
1,31133,45.123431071521715,399,9,7,9,5,35,4,57.907946095349836,57.623744505532265,Moderate,51,93
16,48080,24.100821638397104,476,8,5,5,3,18,9,85.84596210303935,92.48158439875228,Critical,8,43
